id,weight,destination_port,type
C001,28.5,Panama,Normal
C002,18.0,Brazil,Reefer
C003,24.0,Spain,Flammable
C004,16.5,Spain,Oxidizer
C005,30.0,Panama,Normal
C006,22.5,Brazil,Normal
C007,19.0,Spain,Reefer
C008,26.0,Panama,Normal
C009,14.5,Brazil,Normal
C010,21.0,Spain,Flammable
C011,17.5,Panama,Oxidizer
C012,29.0,Brazil,Normal
C013,23.5,Spain,Normal
C014,20.0,Panama,Reefer
C015,15.0,Brazil,Normal
C016,27.5,Spain,Normal
C017,13.5,Panama,Normal
C018,25.0,Brazil,Flammable
C019,18.5,Spain,Reefer
C020,31.0,Panama,Normal
C021,12.0,Brazil,Normal
C022,24.5,Spain,Normal
C023,28.0,Panama,Normal
C024,16.0,Brazil,Normal
C025,22.0,Spain,Oxidizer
C026,19.5,Panama,Normal
C027,26.5,Brazil,Normal
C028,15.5,Spain,Normal
C029,30.5,Panama,Flammable
C030,17.0,Brazil,Normal
C031,21.5,Spain,Normal
C032,27.0,Panama,Normal
C033,13.0,Brazil,Oxidizer
C034,23.0,Spain,Normal
C035,18.0,Panama,Normal
C036,29.5,Brazil,Normal
C037,14.0,Spain,Flammable
C038,25.5,Panama,Normal
C039,20.5,Brazil,Normal
C040,16.5,Spain,Normal
C041,32.0,Panama,Normal
C042,11.5,Brazil,Normal
C043,24.0,Spain,Normal
C044,18.5,Panama,Oxidizer
C045,27.5,Brazil,Normal
C046,15.0,Spain,Normal
C047,21.0,Panama,Flammable
C048,29.0,Brazil,Normal
C049,13.5,Spain,Normal
C050,26.0,Panama,Normal
C051,19.0,Brazil,Normal
C052,22.5,Spain,Oxidizer
C053,30.0,Panama,Normal
C054,16.0,Brazil,Flammable
C055,25.0,Spain,Normal
C056,17.5,Panama,Normal
C057,28.5,Brazil,Normal
C058,14.5,Spain,Normal
C059,23.5,Panama,Normal
C060,20.0,Brazil,Normal
